mgrnu,name,confirm_da,address,sigungu,ins_place,road,road_type,ins_date,lng,lat,geometry
9053.0,일반신호제어,2020-12-31,부산광역시 해운대구 달맞이길 35,해운대구,해운대 엘시티 더샵,,단일로,2016-09-01,129.168575,35.16227825,POINT (129.168575 35.16227825)
9054.0,일반신호 제어,2020-12-31,부산광역시 해운대구 반여2동 1291-835,해운대구,반여2PB(반여2동사무소직결),,교차로,1999-05-01,129.1304125,35.19490131,POINT (129.1304125 35.19490131)
9055.0,일반신호 제어,2020-12-31,부산광역시 해운대구 반여2동 1291-562,해운대구,반여2동 새마을금고,,단일로,2000-02-01,129.1306615,35.19623302,POINT (129.1306615 35.19623302)
9056.0,일반신호 제어,2020-12-31,부산광역시 해운대구 반여2동 1291-227,해운대구,김종규치과의원,,단일로,1999-10-01,129.1312497,35.19747142,POINT (129.1312497 35.19747142)
9057.0,일반신호 제어,2020-12-31,부산광역시 해운대구 반여2동 1291-201,해운대구,반여초교,,단일로,1999-10-01,129.1314523,35.19861428,POINT (129.1314523 35.19861428)
9058.0,일반신호 제어,2020-12-31,부산광역시 해운대구 반여3동 1609-1,해운대구,일신여객,,단일로,2000-02-01,129.1312845,35.19997693,POINT (129.1312845 35.19997693)
9059.0,일반신호 제어,2020-12-31,부산광역시 해운대구 반여1동 1431,해운대구,장산초교,,단일로,1999-10-01,129.1194626,35.19954612,POINT (129.1194626 35.19954612)
9060.0,일반신호 제어,2020-12-31,부산광역시 해운대구 반여1동 1441-136,해운대구,반여1동사무소,,단일로,2002-01-01,129.1191002,35.20114492,POINT (129.1191002 35.20114492)
9061.0,일반신호 제어,2020-12-31,부산광역시 해운대구 반여1동 916-2,해운대구,장산시장입구,,단일로,2000-02-01,129.1230569,35.20776042,POINT (129.1230569 35.20776042)
9062.0,전자신호 제어,2020-12-31,부산광역시 해운대구 반송1동 7-9,해운대구,반송초교,,교차로,2010-09-01,129.1459087,35.22317588,POINT (129.1459087 35.22317588)
9063.0,일반신호 제어,2020-12-31,부산광역시 해운대구 반송1동 257-266,해운대구,반송시립도서관,,교차로,2005-05-01,129.148336,35.22549642,POINT (129.148336 35.22549642)
9064.0,전자신호 제어,2020-12-31,부산광역시 해운대구 반송1동 716-5,해운대구,반송주유소(반송1호교),반송로,교차로,2010-09-01,129.1466335,35.22550357,POINT (129.1466335 35.22550357)
9065.0,전자신호 제어,2020-12-31,부산광역시 해운대구 반송2동 296-1,해운대구,동부산대학(반송보건지소),반송로,교차로,2010-07-01,129.1515318,35.23087427,POINT (129.1515318 35.23087427)
9066.0,전자신호 제어,2020-12-31,부산광역시 해운대구 반송2동 363-17,해운대구,현대치과,,단일로,2010-07-01,129.1515711,35.23132458,POINT (129.1515711 35.23132458)
9067.0,전자신호 제어,2020-12-31,부산광역시 해운대구 반송2동 336-5,해운대구,운봉초교(반송치과),반송로,교차로,2010-07-01,129.1538082,35.23181703,POINT (129.1538082 35.23181703)
9085.0,전자신호 제어,2020-12-31,부산광역시 기장군 철마면 522-2,해운대구,반송검문소(운봉삼거리),반송로,단일로,2010-09-01,129.1758198,35.23536365,POINT (129.1758198 35.23536365)
9087.0,전자신호 제어,2020-12-31,부산광역시 해운대구 송정동 305-21,해운대구,송정삼거리,해운대로,교차로,2005-03-01,129.1985042,35.18074313,POINT (129.1985042 35.18074313)
9088.0,전자신호 제어,2020-12-31,부산광역시 해운대구 우2동 1102-153,해운대구,장산터널입구,,교차로,1996-06-01,129.1402147,35.17109395,POINT (129.1402147 35.17109395)
9089.0,전자신호 제어,2020-12-31,부산광역시 해운대구 송정동 86-2,해운대구,송정송일주유소,해운대로,단일로,2012-04-20,129.2056302,35.19490501,POINT (129.2056302 35.19490501)
9090.0,전자신호 제어,2020-12-31,부산광역시 해운대구 반송1동 산43-1,해운대구,옹기골마을(새반송교),반송로,교차로,2006-08-01,129.1436485,35.22180015,POINT (129.1436485 35.22180015)
9092.0,일반신호 제어,2020-12-31,부산광역시 해운대구 우1동 520-43,해운대구,럭키수퍼마켓앞,,단일로,2001-06-01,129.157659,35.16575435,POINT (129.157659 35.16575435)
9096.0,일반신호 제어,2020-12-31,부산광역시 해운대구 우1동 645-8,해운대구,해운대맨션(직결),,단일로,2002-01-01,129.1565491,35.16024851,POINT (129.1565491 35.16024851)
9097.0,일반신호 제어,2020-12-31,부산광역시 해운대구 반여2동 1291-1223,해운대구,동부산자동차매매시장,,교차로,1996-11-01,129.1249045,35.19442085,POINT (129.1249045 35.19442085)
9099.0,전자신호 제어,2020-12-31,부산광역시 해운대구 중1동 1780-8,해운대구,미포육거리(1),좌동순환로,교차로,2013-04-03,129.1718372,35.16166982,POINT (129.1718372 35.16166982)
9100.0,전자신호 제어,2020-12-31,부산광역시 해운대구 중2동 1521-1,해운대구,중동소방파출소(2),좌동순환로,교차로,1996-05-01,129.17402,35.16156753,POINT (129.17402 35.16156753)
9101.0,전자신호 제어,2020-12-31,부산광역시 해운대구 중2동 1521-39,해운대구,오산교회(3),좌동순환로,교차로,1996-05-01,129.1758245,35.16187451,POINT (129.1758245 35.16187451)
9102.0,전자신호 제어,2020-12-31,부산광역시 해운대구 중2동 1520-20,해운대구,"동백맨션(4),(5)직결",좌동순환로,교차로,1996-05-01,129.1788347,35.16281871,POINT (129.1788347 35.16281871)
9265.0,일반신호 제어,2020-12-31,부산광역시 해운대구 중동 1126-33,해운대구,파라다이스호텔,,교차로,2007-12-01,129.1660709,35.16063485,POINT (129.1660709 35.16063485)
9266.0,일반신호 제어,2020-12-31,부산광역시 해운대구 우1동 1410-3,해운대구,일신아파트(더샵아델리스 101동앞),,교차로,2006-08-01,129.144942,35.15438273,POINT (129.144942 35.15438273)
9267.0,전자신호 제어,2020-12-31,부산광역시 해운대구 중동 262-1,해운대구,해운대 삼정그린코아,해운대로,단일로,2008-01-01,129.1538661,35.19171428,POINT (129.1538661 35.19171428)
9270.0,전자신호 제어,2020-12-31,부산광역시 해운대구 우동 1495,해운대구,신세계백화점(센텀시티점) C CATE,,교차로,2009-01-01,129.1290824,35.16863843,POINT (129.1290824 35.16863843)
9271.0,전자신호 제어,2020-12-31,부산광역시 해운대구 우동 1398,해운대구,해강중학교,해운대해변로,단일로,2009-07-01,129.1366636,35.16283464,POINT (129.1366636 35.16283464)
9273.0,일반신호 제어,2020-12-31,부산광역시 해운대구 석대동 56-9,해운대구,석대체육공원,,교차로,2009-06-01,129.1279647,35.22748194,POINT (129.1279647 35.22748194)
9274.0,전자신호 제어,2020-12-31,부산광역시 해운대구 석대동 226-5,해운대구,석대 세양 CY(석대할매추어탕),반송로,교차로,2009-06-01,129.1284617,35.21975251,POINT (129.1284617 35.21975251)
9275.0,전자신호 제어,2020-12-31,부산광역시 해운대구 반여1동 1405-51,해운대구,장산중학교,,교차로,2008-03-01,129.1179657,35.19769411,POINT (129.1179657 35.19769411)
